Year,Count
1955,29
1956,25
1957,27
1958,33
1959,34
1960,37
1961,39
1962,33
1963,34
1964,43
1965,44
1966,44
1967,49
1968,51
1969,56
1970,58
1971,60
1972,53
1973,50
1974,50
1975,59
1976,70
1977,73
1978,76
1979,77
1980,79
1981,74
1982,74
1983,76
1984,87
1985,98
1986,111
1987,135
1988,139
1989,146
1990,146
1991,132
1992,136
1993,143
1994,133
1995,158
1996,160
1997,182
1998,183
1999,185
2000,177
2001,174
2002,185
2003,194
2004,216
2005,218
2006,237
2007,266
2008,270
2009,263
2010,281
2011,245
2012,279
